BAG_huisnummer,BAG_huisletter,BAG_huisnummertoevoeging,BAG_postcode,BAG_openbareruimtenaam,BAG_woonplaatsnaam,Energielabel,Energielabels_Bouwjaar,full_address,longitude,latitude,building_polygon_wkt,busy_roads
154,,1,1012DV,Oudezijds Achterburgwal,Amsterdam,C,1748,"Oudezijds Achterburgwal 154 1, 1012DV, Amsterdam",4.89679005,52.37165162,"MULTIPOLYGON (((4.8968702 52.3716553,4.8968372 52.3716254,4.8968389 52.3716247,4.8968348 52.371621,4.8968331 52.3716217,4.8968091 52.3716,4.8968108 52.3715993,4.8968076 52.3715963,4.8968051 52.3715973,4.8967812 52.3715939,4.8967797 52.3715923,4.8966749 52.3716298,4.8966761 52.3716311,4.896749 52.3717006,4.8968748 52.371659,4.8968762 52.3716585,4.8968719 52.3716546,4.8968702 52.3716553)))",0
154,,2,1012DV,Oudezijds Achterburgwal,Amsterdam,D,1748,"Oudezijds Achterburgwal 154 2, 1012DV, Amsterdam",4.89679005,52.37165162,"MULTIPOLYGON (((4.8968702 52.3716553,4.8968372 52.3716254,4.8968389 52.3716247,4.8968348 52.371621,4.8968331 52.3716217,4.8968091 52.3716,4.8968108 52.3715993,4.8968076 52.3715963,4.8968051 52.3715973,4.8967812 52.3715939,4.8967797 52.3715923,4.8966749 52.3716298,4.8966761 52.3716311,4.896749 52.3717006,4.8968748 52.371659,4.8968762 52.3716585,4.8968719 52.3716546,4.8968702 52.3716553)))",0
183,,H,1012EW,Oudezijds Voorburgwal,Amsterdam,B,1700,"Oudezijds Voorburgwal 183 H, 1012EW, Amsterdam",4.89598256,52.37163929,"MULTIPOLYGON (((4.8961292 52.3715978,4.8960985 52.3715657,4.8960805 52.3715722,4.8959129 52.3716328,4.8959775 52.3716852,4.8961234 52.371633,4.896182 52.3716118,4.8962422 52.3715901,4.896328 52.3715592,4.8963177 52.3715484,4.8962952 52.3715249,4.8962737 52.3715027,4.8961857 52.3715343,4.8961763 52.3715377,4.8962071 52.3715698,4.8961292 52.3715978)))",0
183,,3,1012EW,Oudezijds Voorburgwal,Amsterdam,B,1700,"Oudezijds Voorburgwal 183 3, 1012EW, Amsterdam",4.89598256,52.37163929,"MULTIPOLYGON (((4.8961292 52.3715978,4.8960985 52.3715657,4.8960805 52.3715722,4.8959129 52.3716328,4.8959775 52.3716852,4.8961234 52.371633,4.896182 52.3716118,4.8962422 52.3715901,4.896328 52.3715592,4.8963177 52.3715484,4.8962952 52.3715249,4.8962737 52.3715027,4.8961857 52.3715343,4.8961763 52.3715377,4.8962071 52.3715698,4.8961292 52.3715978)))",0
4,,H,1012ED,Oude Doelenstraat,Amsterdam,B,1905,"Oude Doelenstraat 4 H, 1012ED, Amsterdam",4.89624686,52.37164038,,0
6,,H,1012ED,Oude Doelenstraat,Amsterdam,A+,1701,"Oude Doelenstraat 6 H, 1012ED, Amsterdam",4.89630580,52.37162265,,0
6,,1,1012ED,Oude Doelenstraat,Amsterdam,C,1701,"Oude Doelenstraat 6 1, 1012ED, Amsterdam",4.89630580,52.37162265,,0
10,,,1012ED,Oude Doelenstraat,Amsterdam,F,1930,"Oude Doelenstraat 10, 1012ED, Amsterdam",4.89639429,52.37158707,,0
12,,H,1012ED,Oude Doelenstraat,Amsterdam,C,1905,"Oude Doelenstraat 12 H, 1012ED, Amsterdam",4.89643884,52.37154231,,0
12,,1,1012ED,Oude Doelenstraat,Amsterdam,D,1717,"Oude Doelenstraat 12 1, 1012ED, Amsterdam",4.89643884,52.37154231,,0
12,,2,1012ED,Oude Doelenstraat,Amsterdam,F,1771,"Oude Doelenstraat 12 2, 1012ED, Amsterdam",4.89643884,52.37154231,,0
12,,3,1012ED,Oude Doelenstraat,Amsterdam,F,1717,"Oude Doelenstraat 12 3, 1012ED, Amsterdam",4.89643884,52.37154231,,0
14,,,1012ED,Oude Doelenstraat,Amsterdam,A,1735,"Oude Doelenstraat 14, 1012ED, Amsterdam",4.89649757,52.37154256,,0
18,,,1012ED,Oude Doelenstraat,Amsterdam,E,1708,"Oude Doelenstraat 18, 1012ED, Amsterdam",4.89658597,52.37151596,,0
8,,,1012ED,Oude Doelenstraat,Amsterdam,D,1701,"Oude Doelenstraat 8, 1012ED, Amsterdam",4.89635004,52.37160486,,0
154,,3,1012DV,Oudezijds Achterburgwal,Amsterdam,B,1748,"Oudezijds Achterburgwal 154 3, 1012DV, Amsterdam",4.89679005,52.37165162,"MULTIPOLYGON (((4.8968702 52.3716553,4.8968372 52.3716254,4.8968389 52.3716247,4.8968348 52.371621,4.8968331 52.3716217,4.8968091 52.3716,4.8968108 52.3715993,4.8968076 52.3715963,4.8968051 52.3715973,4.8967812 52.3715939,4.8967797 52.3715923,4.8966749 52.3716298,4.8966761 52.3716311,4.896749 52.3717006,4.8968748 52.371659,4.8968762 52.3716585,4.8968719 52.3716546,4.8968702 52.3716553)))",0
6,,,1012ED,Oude Doelenstraat,Amsterdam,C,1701,"Oude Doelenstraat 6, 1012ED, Amsterdam",4.89630580,52.37162265,,0
158,A,,1012DW,Oudezijds Achterburgwal,Amsterdam,D,1900,"Oudezijds Achterburgwal 158 A, 1012DW, Amsterdam",4.89655800,52.37139002,"MULTIPOLYGON (((4.896597 52.371404,4.8965187 52.3713348,4.8962549 52.3714099,4.896282 52.3714331,4.8962987 52.3714467,4.8963596 52.3714288,4.8963974 52.3714636,4.8964402 52.3714509,4.8965174 52.3714282,4.8965976 52.3714045,4.896597 52.371404)))",0
158,C,,1012DW,Oudezijds Achterburgwal,Amsterdam,D,1900,"Oudezijds Achterburgwal 158 C, 1012DW, Amsterdam",4.89654322,52.37139894,"MULTIPOLYGON (((4.896597 52.371404,4.8965187 52.3713348,4.8962549 52.3714099,4.896282 52.3714331,4.8962987 52.3714467,4.8963596 52.3714288,4.8963974 52.3714636,4.8964402 52.3714509,4.8965174 52.3714282,4.8965976 52.3714045,4.896597 52.371404)))",0
158,E,,1012DW,Oudezijds Achterburgwal,Amsterdam,B,1900,"Oudezijds Achterburgwal 158 E, 1012DW, Amsterdam",4.89652853,52.37139888,"MULTIPOLYGON (((4.896597 52.371404,4.8965187 52.3713348,4.8962549 52.3714099,4.896282 52.3714331,4.8962987 52.3714467,4.8963596 52.3714288,4.8963974 52.3714636,4.8964402 52.3714509,4.8965174 52.3714282,4.8965976 52.3714045,4.896597 52.371404)))",0
158,F,,1012DW,Oudezijds Achterburgwal,Amsterdam,B,1900,"Oudezijds Achterburgwal 158 F, 1012DW, Amsterdam",4.89651375,52.37140781,"MULTIPOLYGON (((4.896597 52.371404,4.8965187 52.3713348,4.8962549 52.3714099,4.896282 52.3714331,4.8962987 52.3714467,4.8963596 52.3714288,4.8963974 52.3714636,4.8964402 52.3714509,4.8965174 52.3714282,4.8965976 52.3714045,4.896597 52.371404)))",0
158,G,,1012DW,Oudezijds Achterburgwal,Amsterdam,B,1900,"Oudezijds Achterburgwal 158 G, 1012DW, Amsterdam",4.89649907,52.37140775,"MULTIPOLYGON (((4.896597 52.371404,4.8965187 52.3713348,4.8962549 52.3714099,4.896282 52.3714331,4.8962987 52.3714467,4.8963596 52.3714288,4.8963974 52.3714636,4.8964402 52.3714509,4.8965174 52.3714282,4.8965976 52.3714045,4.896597 52.371404)))",0
158,B,,1012DW,Oudezijds Achterburgwal,Amsterdam,D,1900,"Oudezijds Achterburgwal 158 B, 1012DW, Amsterdam",4.89655800,52.37139002,"MULTIPOLYGON (((4.896597 52.371404,4.8965187 52.3713348,4.8962549 52.3714099,4.896282 52.3714331,4.8962987 52.3714467,4.8963596 52.3714288,4.8963974 52.3714636,4.8964402 52.3714509,4.8965174 52.3714282,4.8965976 52.3714045,4.896597 52.371404)))",0
158,D,,1012DW,Oudezijds Achterburgwal,Amsterdam,D,1900,"Oudezijds Achterburgwal 158 D, 1012DW, Amsterdam",4.89652853,52.37139888,"MULTIPOLYGON (((4.896597 52.371404,4.8965187 52.3713348,4.8962549 52.3714099,4.896282 52.3714331,4.8962987 52.3714467,4.8963596 52.3714288,4.8963974 52.3714636,4.8964402 52.3714509,4.8965174 52.3714282,4.8965976 52.3714045,4.896597 52.371404)))",0
4,,1,1012ED,Oude Doelenstraat,Amsterdam,C,1900,"Oude Doelenstraat 4 1, 1012ED, Amsterdam",4.89624686,52.37164038,,0
4,,2,1012ED,Oude Doelenstraat,Amsterdam,C,1900,"Oude Doelenstraat 4 2, 1012ED, Amsterdam",4.89624686,52.37164038,,0
4,,3,1012ED,Oude Doelenstraat,Amsterdam,C,1905,"Oude Doelenstraat 4 3, 1012ED, Amsterdam",4.89624686,52.37164038,,0
164,A,,1012DW,Oudezijds Achterburgwal,Amsterdam,C,1650,"Oudezijds Achterburgwal 164 A, 1012DW, Amsterdam",4.89641236,52.37128156,,0
12,,4,1012ED,Oude Doelenstraat,Amsterdam,G,1717,"Oude Doelenstraat 12 4, 1012ED, Amsterdam",4.89643884,52.37154231,,0
183,,1V,1012EW,Oudezijds Voorburgwal,Amsterdam,A,1700,"Oudezijds Voorburgwal 183 1V, 1012EW, Amsterdam",4.89598256,52.37163929,"MULTIPOLYGON (((4.8961292 52.3715978,4.8960985 52.3715657,4.8960805 52.3715722,4.8959129 52.3716328,4.8959775 52.3716852,4.8961234 52.371633,4.896182 52.3716118,4.8962422 52.3715901,4.896328 52.3715592,4.8963177 52.3715484,4.8962952 52.3715249,4.8962737 52.3715027,4.8961857 52.3715343,4.8961763 52.3715377,4.8962071 52.3715698,4.8961292 52.3715978)))",0
183,,1A,1012EW,Oudezijds Voorburgwal,Amsterdam,A,1700,"Oudezijds Voorburgwal 183 1A, 1012EW, Amsterdam",4.89598256,52.37163929,"MULTIPOLYGON (((4.8961292 52.3715978,4.8960985 52.3715657,4.8960805 52.3715722,4.8959129 52.3716328,4.8959775 52.3716852,4.8961234 52.371633,4.896182 52.3716118,4.8962422 52.3715901,4.896328 52.3715592,4.8963177 52.3715484,4.8962952 52.3715249,4.8962737 52.3715027,4.8961857 52.3715343,4.8961763 52.3715377,4.8962071 52.3715698,4.8961292 52.3715978)))",0
